Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,5 SP,6 SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV,5 PV,6 PV
Wed Feb 14 16:35:07 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,86.28504943847656,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.09625,67.79950714111328,77.27792358398438,20.0,1,8,0,1,15.002,14.997,14.998
Wed Feb 14 16:35:17 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,89.6732406616211,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,70.09736633300781,83.08731079101562,20.0,1,8,0,1,15.002,14.991,14.996
Wed Feb 14 16:35:26 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,92.60520935058594,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08125,72.42790222167969,88.67288208007812,20.0,1,8,0,1,15.000250000000001,15.001,15.0
Wed Feb 14 16:35:36 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,96.18679809570312,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.0925,74.96896362304688,94.5948486328125,20.0,1,8,0,1,15.000250000000001,15.002,15.0
Wed Feb 14 16:35:45 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,99.25485229492188,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0825,0.0,74.08125,77.45885467529297,100.5926513671875,20.0,1,8,0,1,14.999500000000001,14.998,15.0
Wed Feb 14 16:35:55 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,102.52928924560547,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08125,80.15070343017578,106.87310791015625,20.0,1,8,0,1,14.999500000000001,15.0,15.001
Wed Feb 14 16:36:04 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,105.33187866210938,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,82.77653503417969,112.96823120117188,20.0,1,8,0,1,15.001750000000001,15.005,15.002
Wed Feb 14 16:36:14 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,108.73320007324219,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08875,85.59297180175781,119.03076171875,20.0,1,8,0,1,15.001750000000001,15.0,15.002
Wed Feb 14 16:36:24 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,112.1471939086914,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.09625,88.53297424316406,125.22320556640625,20.0,1,8,0,1,14.999,14.998,15.0
Wed Feb 14 16:36:34 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,115.46113586425781,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08875,91.51565551757812,131.68057250976562,20.0,1,8,0,1,14.999,15.002,15.001
