Time,1,2,3,4
Wed Feb 14 17:40:41 2024,15.0,14.99,15.002,14.998
Wed Feb 14 17:40:56 2024,15.002,14.995,15.0,15.001
Wed Feb 14 17:41:11 2024,15.0,14.998,15.0,15.001
Wed Feb 14 17:41:26 2024,14.998,15.001,14.999,14.998
Wed Feb 14 17:41:41 2024,15.0,14.998,15.0,14.999
Wed Feb 14 17:41:56 2024,15.0,15.01,14.999,14.998
Wed Feb 14 17:42:11 2024,15.002,14.999,15.001,15.001
Wed Feb 14 17:42:26 2024,15.002,15.0,15.001,15.0
Wed Feb 14 17:42:41 2024,15.0,15.005,15.0,15.0
Wed Feb 14 17:42:55 2024,15.0,15.004,15.0,15.0
Wed Feb 14 17:43:10 2024,14.998,15.001,15.001,15.001
Wed Feb 14 17:43:25 2024,15.0,14.989,15.002,15.002
Wed Feb 14 17:43:40 2024,15.002,14.998,15.0,15.001
Wed Feb 14 17:43:55 2024,14.998,15.002,15.0,15.001
Wed Feb 14 17:44:10 2024,15.0,14.998,15.0,15.0
Wed Feb 14 17:44:25 2024,15.003,15.0,14.999,14.999
Wed Feb 14 17:44:40 2024,15.002,14.998,15.0,14.999
Wed Feb 14 17:44:55 2024,15.0,15.0,15.0,15.001
Wed Feb 14 17:45:10 2024,15.002,14.996,15.0,15.001
Wed Feb 14 17:45:24 2024,14.998,15.0,15.0,15.0
Wed Feb 14 17:45:39 2024,15.0,14.994,15.0,15.001
Wed Feb 14 17:45:54 2024,15.0,15.0,14.999,14.999
Wed Feb 14 17:46:09 2024,14.998,14.995,14.999,14.999
Wed Feb 14 17:46:24 2024,15.002,15.0,14.999,15.0
Wed Feb 14 17:46:39 2024,15.0,15.0,15.0,14.999
Wed Feb 14 17:46:54 2024,15.0,15.002,15.0,15.0
Wed Feb 14 17:47:09 2024,14.998,14.998,15.0,15.001
Wed Feb 14 17:47:24 2024,15.002,14.996,14.999,15.001
Wed Feb 14 17:47:39 2024,15.0,15.0,14.999,15.0
Wed Feb 14 17:47:54 2024,15.0,14.995,14.999,15.001
Wed Feb 14 17:48:09 2024,15.0,14.996,14.998,14.999
Wed Feb 14 17:48:24 2024,15.0,15.001,15.0,14.999
Wed Feb 14 17:48:39 2024,15.0,15.0,15.0,15.0
Wed Feb 14 17:48:54 2024,15.003,15.0,15.0,15.001
Wed Feb 14 17:49:09 2024,14.998,14.999,14.999,15.0
Wed Feb 14 17:49:24 2024,15.002,15.0,15.0,15.001
Wed Feb 14 17:49:39 2024,14.998,15.001,14.999,15.0
Wed Feb 14 17:49:53 2024,15.0,15.0,14.999,15.001
Wed Feb 14 17:50:09 2024,15.002,14.999,14.999,14.999
Wed Feb 14 17:50:23 2024,15.002,15.001,14.998,14.999
Wed Feb 14 17:50:38 2024,15.002,15.003,14.998,14.998
Wed Feb 14 17:50:53 2024,15.0,15.0,15.0,15.0
Wed Feb 14 17:51:08 2024,14.998,15.005,15.0,14.999
Wed Feb 14 17:51:23 2024,15.0,15.0,14.999,15.001
Wed Feb 14 17:51:38 2024,14.998,14.994,14.998,14.998
Wed Feb 14 17:51:53 2024,15.0,14.999,15.0,14.999
Wed Feb 14 17:52:08 2024,14.998,14.997,15.0,15.004
Wed Feb 14 17:52:23 2024,14.997,14.999,15.0,15.0
Wed Feb 14 17:52:38 2024,15.0,14.998,15.001,15.002
Wed Feb 14 17:52:53 2024,15.0,14.995,14.999,15.001
Wed Feb 14 17:53:08 2024,14.998,15.002,15.0,14.999
Wed Feb 14 17:53:23 2024,14.998,14.998,14.999,15.0
Wed Feb 14 17:53:38 2024,14.998,14.997,14.999,15.0
Wed Feb 14 17:53:53 2024,15.0,15.0,15.0,15.0
Wed Feb 14 17:54:07 2024,15.002,15.003,14.998,15.0
Wed Feb 14 17:54:22 2024,14.998,14.995,15.0,15.001
Wed Feb 14 17:54:37 2024,14.998,14.993,15.0,15.001
Wed Feb 14 17:54:52 2024,15.002,14.994,15.0,15.001
Wed Feb 14 17:55:07 2024,15.002,15.002,15.0,15.0
Wed Feb 14 17:55:22 2024,14.997,15.01,14.999,14.998
Wed Feb 14 17:55:37 2024,15.002,14.995,15.002,14.999
Wed Feb 14 17:55:52 2024,15.0,15.0,15.002,15.001
Wed Feb 14 17:56:07 2024,14.998,14.992,14.999,14.999
Wed Feb 14 17:56:22 2024,15.002,15.001,15.001,14.999
Wed Feb 14 17:56:37 2024,14.998,14.996,15.0,14.999
Wed Feb 14 17:56:52 2024,15.005,15.005,14.999,14.999
Wed Feb 14 17:57:07 2024,15.0,15.0,14.999,15.0
Wed Feb 14 17:57:22 2024,14.998,14.998,15.0,15.002
Wed Feb 14 17:57:36 2024,14.998,14.996,15.0,15.0
Wed Feb 14 17:57:52 2024,14.998,14.999,15.002,15.0
Wed Feb 14 17:58:06 2024,15.0,15.001,15.0,14.998
Wed Feb 14 17:58:21 2024,15.0,15.0,14.999,15.0
Wed Feb 14 17:58:37 2024,14.972,14.975,14.966,14.947
Wed Feb 14 18:00:02 2024,15.0,14.993,14.999,15.0
Wed Feb 14 18:00:21 2024,15.011,14.995,15.001,15.003
Wed Feb 14 18:00:40 2024,15.002,14.995,14.999,14.999
Wed Feb 14 18:01:00 2024,14.998,15.0,14.999,15.0
Wed Feb 14 18:01:19 2024,14.989,14.994,14.999,14.997
Wed Feb 14 18:01:39 2024,15.005,15.007,15.0,15.002
Wed Feb 14 18:01:58 2024,15.211,15.001,15.0,15.002
Wed Feb 14 18:02:18 2024,14.995,15.002,14.991,15.002
Wed Feb 14 18:02:37 2024,14.997,15.001,14.999,15.001
Wed Feb 14 18:02:57 2024,14.997,14.998,15.0,15.001
Wed Feb 14 18:03:16 2024,15.0,15.0,14.999,15.004
Wed Feb 14 18:03:35 2024,15.011,15.0,15.001,15.001
Wed Feb 14 18:03:55 2024,14.992,14.999,15.002,14.999
Wed Feb 14 18:04:14 2024,14.998,15.004,14.998,14.999
Wed Feb 14 18:05:39 2024,15.003,14.995,14.998,15.0
Wed Feb 14 18:05:59 2024,15.0,15.002,14.999,14.999
Wed Feb 14 18:06:18 2024,15.0,14.996,14.998,15.001
Wed Feb 14 18:06:37 2024,14.997,14.987,15.0,15.001
Wed Feb 14 18:06:56 2024,15.003,14.998,14.999,15.003
Wed Feb 14 18:07:15 2024,15.095,14.985,14.998,14.998
Wed Feb 14 18:07:35 2024,15.0,15.003,14.999,14.998
Wed Feb 14 18:07:54 2024,14.998,14.998,14.999,15.0
Wed Feb 14 18:08:13 2024,14.998,15.0,14.998,15.002
Wed Feb 14 18:08:32 2024,15.002,14.996,14.999,14.995
Wed Feb 14 18:08:51 2024,15.0,15.002,14.999,14.999
Wed Feb 14 18:09:10 2024,14.994,15.002,14.999,14.995
Wed Feb 14 18:09:29 2024,15.0,15.003,14.998,15.001
Wed Feb 14 18:09:48 2024,14.998,14.993,15.0,15.003
Wed Feb 14 18:11:13 2024,15.002,14.995,14.998,15.002
Wed Feb 14 18:11:32 2024,14.997,14.991,15.008,15.002
Wed Feb 14 18:11:52 2024,14.98,14.998,14.999,15.001
Wed Feb 14 18:12:11 2024,15.008,14.994,15.002,15.0
Wed Feb 14 18:12:31 2024,15.0,14.998,14.998,15.0
Wed Feb 14 18:12:50 2024,15.0,14.998,15.002,14.998
Wed Feb 14 18:13:09 2024,15.0,14.999,14.998,15.001
Wed Feb 14 18:13:29 2024,15.005,15.004,14.995,14.998
Wed Feb 14 18:13:48 2024,14.989,14.998,15.001,15.0
Wed Feb 14 18:14:08 2024,15.003,14.988,15.0,15.002
Wed Feb 14 18:14:27 2024,14.997,14.998,15.0,15.001
Wed Feb 14 18:14:47 2024,14.997,15.005,14.998,14.998
Wed Feb 14 18:15:06 2024,15.003,15.001,14.998,14.999
Wed Feb 14 18:15:26 2024,15.0,14.994,15.003,14.998
Wed Feb 14 18:16:51 2024,15.006,15.015,14.997,14.997
Wed Feb 14 18:17:10 2024,15.003,15.003,14.997,14.998
Wed Feb 14 18:17:29 2024,15.012,14.994,15.002,15.002
Wed Feb 14 18:17:49 2024,15.0,15.002,15.0,15.001
Wed Feb 14 18:18:08 2024,15.003,15.012,14.998,15.0
Wed Feb 14 18:18:27 2024,14.997,14.995,14.998,15.001
Wed Feb 14 18:18:46 2024,14.998,14.989,15.002,15.002
Wed Feb 14 18:19:05 2024,15.023,14.999,15.002,15.002
Wed Feb 14 18:19:24 2024,14.998,15.006,14.999,15.002
Wed Feb 14 18:19:44 2024,14.995,14.998,14.999,14.999
Wed Feb 14 18:20:03 2024,14.997,15.006,14.999,15.0
Wed Feb 14 18:20:22 2024,14.997,14.983,15.0,15.002
Wed Feb 14 18:20:41 2024,15.002,15.002,15.0,15.0
Wed Feb 14 18:21:00 2024,15.002,14.99,15.002,14.999
Wed Feb 14 18:22:25 2024,14.995,15.001,14.998,14.999
Wed Feb 14 18:22:45 2024,15.003,14.98,15.002,15.002
Wed Feb 14 18:23:04 2024,14.986,14.995,14.997,14.998
Wed Feb 14 18:23:24 2024,14.998,14.998,14.998,14.999
Wed Feb 14 18:23:43 2024,15.0,15.027,15.001,14.998
Wed Feb 14 18:24:03 2024,15.002,15.002,15.002,14.999
Wed Feb 14 18:24:22 2024,15.02,15.0,15.001,15.001
Wed Feb 14 18:24:42 2024,15.0,14.988,14.998,15.003
Wed Feb 14 18:25:01 2024,15.002,14.998,15.0,15.001
Wed Feb 14 18:25:20 2024,14.994,15.003,14.999,15.002
Wed Feb 14 18:25:40 2024,14.998,14.995,15.002,15.001
Wed Feb 14 18:25:59 2024,15.0,15.001,15.003,15.001
Wed Feb 14 18:26:19 2024,15.002,15.0,14.999,14.999
Wed Feb 14 18:26:38 2024,15.003,14.982,15.002,15.002
Wed Feb 14 18:28:04 2024,15.0,14.998,14.998,15.0
Wed Feb 14 18:28:23 2024,14.998,15.008,14.999,14.998
Wed Feb 14 18:28:42 2024,15.002,14.994,14.998,15.002
Wed Feb 14 18:29:01 2024,15.0,14.991,15.001,15.002
Wed Feb 14 18:29:20 2024,15.0,14.991,15.001,14.998
Wed Feb 14 18:29:40 2024,15.0,14.998,15.002,15.001
Wed Feb 14 18:29:59 2024,15.0,14.991,15.002,15.002
Wed Feb 14 18:30:18 2024,15.002,14.995,15.002,15.004
Wed Feb 14 18:30:37 2024,14.997,15.013,15.0,14.998
Wed Feb 14 18:30:56 2024,15.0,15.001,15.001,15.0
Wed Feb 14 18:31:16 2024,15.0,15.005,15.001,14.999
Wed Feb 14 18:31:35 2024,14.991,14.998,14.998,14.999
Wed Feb 14 18:31:54 2024,14.998,14.997,14.999,15.002
Wed Feb 14 18:32:13 2024,15.002,14.994,15.0,15.002
Wed Feb 14 18:33:38 2024,15.002,15.0,15.0,15.002
Wed Feb 14 18:33:57 2024,15.0,15.002,15.001,14.998
Wed Feb 14 18:34:16 2024,14.998,14.998,15.0,15.003
Wed Feb 14 18:34:35 2024,14.998,14.999,15.001,15.003
Wed Feb 14 18:34:55 2024,15.0,14.991,15.002,15.003
Wed Feb 14 18:35:14 2024,14.997,14.991,14.998,15.002
Wed Feb 14 18:35:34 2024,14.998,15.005,15.0,14.998
Wed Feb 14 18:35:54 2024,15.0,14.998,15.0,15.002
