Time,Current SP,R1,R2,R3,R4,R5,R6
Tue May  7 09:45:16 2024,25.0,24.02227783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:21 2024,25.0,23.987579345703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:29 2024,25.0,23.987579345703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:35 2024,25.0,23.930938720703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:40 2024,25.0,23.907012939453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:48 2024,25.0,23.99835205078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:53 2024,25.0,24.03546142578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:59 2024,25.0,23.952911376953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:07 2024,25.0,24.033050537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:12 2024,25.0,23.907012939453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:18 2024,25.0,24.01788330078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:26 2024,25.0,23.94610595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:31 2024,25.0,23.978790283203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:37 2024,25.0,24.033050537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:44 2024,25.0,24.043792724609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:50 2024,25.0,24.02227783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:46:56 2024,25.0,23.93731689453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:02 2024,25.0,24.00030517578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:08 2024,25.0,23.997894287109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:13 2024,25.0,23.995941162109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:19 2024,25.0,23.98712158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:25 2024,25.0,23.932891845703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:31 2024,25.0,23.921661376953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:36 2024,25.0,23.782470703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:42 2024,25.0,24.001800537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:48 2024,25.0,23.836700439453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:47:54 2024,25.0,23.90850830078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:00 2024,25.0,23.991058349609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:05 2024,25.0,23.975921630859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:11 2024,25.0,23.863037109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:19 2024,25.0,23.928497314453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:24 2024,25.0,24.015472412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:30 2024,25.0,23.98516845703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:38 2024,25.0,23.97637939453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:43 2024,25.0,23.975921630859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:49 2024,25.0,24.038909912109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:48:57 2024,25.0,23.96270751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:02 2024,25.0,24.002288818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:08 2024,25.0,23.997894287109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:16 2024,25.0,23.93682861328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:21 2024,25.0,23.955902099609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:27 2024,25.0,23.902130126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:35 2024,25.0,23.849884033203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:40 2024,25.0,23.94122314453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:46 2024,25.0,23.95001220703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:54 2024,25.0,24.030609130859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:49:59 2024,25.0,23.984710693359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:05 2024,25.0,24.002288818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:13 2024,25.0,24.032562255859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:18 2024,25.0,23.94317626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:24 2024,25.0,24.047698974609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:32 2024,25.0,23.98712158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:37 2024,25.0,24.080413818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:43 2024,25.0,24.021820068359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:51 2024,25.0,24.0740966796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:50:56 2024,25.0,24.043792724609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
