,Unnamed: 0,Catalyst,Reaction,Tube,Date,Mass Catalyst,Mass Diluent,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn
62,76,Pt1Sn1Cu8Ca4,24-031,5,2024-05-03,20.1,119.9,0.0022416799143583,0.3095634616580257,138.09440842789866,57.459280023115085,4.217498503655141,1,1.0,0.0,0.0,8.0,4.0,0,0
63,77,Pt1Fe1Cu8Ca4,24-031,6,2024-05-03,19.8,120.0,0.0012239861235915,0.2799073466676227,228.6850653553916,58.20998548951235,4.0365087127281445,1,0.0,0.0,1.0,8.0,4.0,0,0
64,78,Pt1Sn3.5Fe2Ca2.5,24-034,1,2024-05-20,20.1,120.1,0.0011511047783182,0.2997956469099318,260.44166661172386,62.8675553660082,4.341361472003729,1,3.5,0.0,2.0,0.0,2.5,0,0
65,79,Pt1Sn4Fe1.5Ca2.5,24-034,2,2024-05-20,20.2,120.1,0.000907646083285,0.2959166209732561,326.026439625292,63.817039611683946,4.345632603247306,1,4.0,0.0,1.5,0.0,2.5,0,0
66,80,Pt1Sn4Fe2Ca2,24-034,3,2024-05-20,19.9,119.9,0.0010155332428166,0.2904951934822835,286.0518801694434,61.87279601149112,4.239545948406264,1,4.0,0.0,2.0,0.0,2.0,0,0
67,81,Pt1Sn3.5Fe1.5Ca2.5,24-034,4,2024-05-20,20.0,119.9,0.0010219909749227,0.3017687107954839,295.2753186673684,64.22618893359702,4.402437306061127,1,3.5,0.0,1.5,0.0,2.5,0,0
68,82,Pt1Sn3.5Fe1.5Ca3,24-034,5,2024-05-20,20.1,119.9,0.001058965661366,0.2975194289490603,280.9528578719568,63.05309995853185,4.331226419056203,1,3.5,0.0,1.5,0.0,3.0,0,0
69,83,Pt1Sn4Fe2Ca2.5,24-034,6,2024-05-20,19.9,120.0,0.0006973906617819,0.2841096706087537,407.38955391632015,62.78549461155948,4.223501650656461,1,4.0,0.0,2.0,0.0,2.5,0,0
70,84,Pt1Sn3Cu2Ca3.5,24-035,1,2024-05-26,20.1,119.8,0.0009928827690166,0.3195752269037737,321.86602172609963,68.24439119997429,4.670033918789208,1,3.0,0.0,0.0,2.0,3.5,0,0
71,85,Pt1Sn3Ga0.5Fe0.5Cu2.5Ca3.5,24-035,2,2024-05-26,20.0,119.9,0.0007057822315659,0.3000606642926711,425.1462432355504,66.245641095484,4.45844267358063,1,3.0,0.5,0.5,2.5,3.5,0,0
72,86,Pt1Sn2.5Fe0.5Cu1.5Ca3,24-035,3,2024-05-26,20.2,120.1,0.0008329752967607,0.33005969518294,396.24187711984274,71.79858884714835,4.868040709510863,1,2.5,0.0,0.5,1.5,3.0,0,0
73,87,Pt1Sn3Ga0.5Fe0.5Cu3Ca3.5,24-035,4,2024-05-26,20.1,120.1,0.0007234183848726,0.3136608904016615,433.5815856502877,69.10600017737364,4.6557329764208335,1,3.0,0.5,0.5,3.0,3.5,0,0
74,88,Pt1Sn3Ga0.5Fe0.5Cu3Ca5,24-035,5,2024-05-26,20.2,120.1,0.0007800192512328,0.2835923965897846,363.5710223068921,62.07101445627068,4.195577165112443,1,3.0,0.5,0.5,3.0,5.0,0,0
75,89,Pt1Sn2Fe2Ca3,24-035,6,2024-05-26,20.2,119.9,0.000839471522232,0.3119113124572023,371.55675230990016,67.79962691882362,4.59863790881158,1,2.0,0.0,2.0,0.0,3.0,0,0
76,90,Pt1Sn5.5Ca4.5,24-038,1,2024-05-30,20.0,120.1,0.0009555973343159,0.2193564333026613,229.54902177462287,47.04481036766367,3.2124105913862824,1,5.5,0.0,0.0,0.0,4.5,0,0
77,91,Pt1Sn5.5Ca4,24-038,2,2024-05-30,20.0,120.1,0.0009639672728538,0.2221383247116305,230.4417701380941,47.59544240360563,3.2515798989792417,1,5.5,0.0,0.0,0.0,4.0,0,0
78,92,Pt1Sn2.5,24-038,3,2024-05-30,19.9,120.0,0.0035567774793658,0.295372616326667,83.045008590004,47.67882357907008,3.7527348512688072,1,2.5,0.0,0.0,0.0,0.0,0,0
79,93,Pt1Sn6Ca4,24-038,4,2024-05-30,19.9,119.9,0.0009107562474314,0.1800675445510689,197.7121156828679,38.81919634055654,2.643875444586953,1,6.0,0.0,0.0,0.0,4.0,0,0
80,94,Pt1Sn5Ca5,24-038,5,2024-05-30,20.0,120.2,0.0010796621734441,0.2314807956197856,214.40113520078725,48.94108083496131,3.365846153669102,1,5.0,0.0,0.0,0.0,5.0,0,0
81,95,Pt1Sn6Ca3.5,24-038,6,2024-05-30,19.8,119.8,0.0007269059151302,0.1567181630568189,215.59621375310127,34.5142335890878,2.325727259890076,1,6.0,0.0,0.0,0.0,3.5,0,0
82,96,Pt1Sn3Fe0.5Ca2.5,24-049,1,2024-06-19,20.2,120.0,0.0009740902700015,0.3165988730998572,325.0200549681557,67.7554302743747,4.631554044946791,1,3.0,0.0,0.5,0.0,2.5,0,0
83,97,Pt1Sn3Ga1.5Fe3.5Cu1.5Ca4,24-049,2,2024-06-19,20.1,119.9,0.0014739365627527,0.2210691187728818,149.98550436933596,44.687562154662594,3.143094014763104,1,3.0,1.5,3.5,1.5,4.0,0,0
84,98,Pt1Sn3Fe1Ca2.5,24-049,3,2024-06-19,19.8,120.0,0.000836827031568,0.3136434354650998,374.80079351332944,68.19704882747212,4.62488450480977,1,3.0,0.0,1.0,0.0,2.5,0,0
