Time,Current SP,R1,R2,R3,R4,R5,R6
Fri May  3 12:53:45 2024,230.25982117652893,290.8075256347656,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:52 2024,232.80856013298035,293.4458312988281,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:58 2024,234.7342168490092,295.3585510253906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:04 2024,236.61996070543924,297.2087707519531,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:11 2024,239.17866015434265,299.8140563964844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:17 2024,241.0976324081421,301.8706359863281,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:23 2024,242.98684493700662,303.7550964355469,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:30 2024,245.55227200190225,306.1570739746094,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:36 2024,247.47791194915771,308.0434875488281,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:42 2024,249.32359210650125,309.7035217285156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:49 2024,251.86889656384787,311.9055480957031,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:54:55 2024,253.80126881599426,313.4482727050781,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:01 2024,255.64040533701578,315.0599670410156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:08 2024,258.2058024406433,317.2595520019531,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:14 2024,260.13812724749243,318.9242248535156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:20 2024,261.98741714159644,320.4644470214844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:27 2024,264.5493698120117,322.6802673339844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:33 2024,266.4783732891083,324.2631530761719,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:39 2024,268.3240369955698,325.7133483886719,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:46 2024,270.8826469580332,327.7837829589844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:52 2024,272.8216416835785,329.3400573730469,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:55:58 2024,274.6839636166891,330.7510681152344,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:04 2024,276.6062854925791,332.3861389160156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:09 2024,278.54532416661584,334.0038146972656,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:16 2024,280.70412834485376,335.7529602050781,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:22 2024,282.64000487327576,337.1792907714844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:27 2024,284.4891459941864,338.5841369628906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:35 2024,287.03447993596393,340.3861389160156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:41 2024,288.97024154663086,341.9493103027344,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:46 2024,290.7992641925812,343.1878967285156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:56:54 2024,293.3312337398529,344.9409484863281,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:00 2024,295.26682527860004,346.2560729980469,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:05 2024,297.10258412361145,347.5440979003906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:13 2024,299.62467153867084,349.2809753417969,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:18 2024,301.56040986378986,350.5430603027344,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:24 2024,303.3927619457245,351.8302917480469,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:31 2024,305.908104578654,353.4974670410156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:37 2024,307.83042192459106,354.8132629394531,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:43 2024,309.6795400778453,355.9681091308594,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:50 2024,312.2115378379822,357.6258850097656,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:57:56 2024,314.137260278066,358.8929748535156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:58:02 2024,315.98294075330097,359.9908142089844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:58:09 2024,318.49831970532733,361.4659729003906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:58:15 2024,320.4273359775543,362.5526428222656,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:58:21 2024,322.25973534584045,363.7062072753906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
